Distance (km),Vehicle Type,Fuel Type,Route Type,Time of Day,CO2 Emissions (g/km)
25,Bus,None,Rural,Afternoon,80
75,Bike,None,Rural,Afternoon,5
4,Bicycle,None,Urban,Afternoon,0
38,Bicycle,None,Rural,Evening,0
91,Car,Gasoline,Urban,Morning,180
9,Bike,None,Urban,Morning,5
96,Bus,None,Rural,Afternoon,80
9,Bike,None,Urban,Morning,5
16,Bike,None,Rural,Morning,5
66,Bike,None,Urban,Evening,5
70,Bike,None,Urban,Evening,5
46,Car,Gasoline,Urban,Morning,180
10,Bicycle,None,Rural,Morning,0
26,Bike,None,Urban,Afternoon,5
50,Bus,None,Rural,Afternoon,80
73,Bus,None,Urban,Afternoon,80
29,Bike,None,Rural,Morning,5
11,Bicycle,None,Rural,Morning,0
32,Bicycle,None,Urban,Evening,0
31,Car,Gasoline,Urban,Morning,180
90,Bike,None,Urban,Afternoon,5
40,Bus,None,Urban,Afternoon,80
49,Bus,None,Rural,Afternoon,80
47,Car,Gasoline,Urban,Morning,180
63,Bike,None,Rural,Afternoon,5
15,Bike,None,Urban,Morning,5
4,Bicycle,None,Rural,Afternoon,0
4,Bicycle,None,Urban,Afternoon,0
21,Bike,None,Rural,Afternoon,5
100,Bus,None,Urban,Afternoon,80
10,Bike,None,Urban,Evening,5
82,Bike,None,Rural,Evening,5
34,Car,Gasoline,Urban,Morning,180
82,Car,Gasoline,Rural,Evening,180
83,Car,Gasoline,Urban,Evening,180
61,Bike,None,Rural,Morning,5
84,Bus,None,Rural,Afternoon,80
74,Bus,None,Urban,Evening,80
16,Bus,None,Rural,Afternoon,80
75,Bus,None,Rural,Evening,80
72,Bus,None,Rural,Evening,80
13,Bike,None,Urban,Afternoon,5
92,Bike,None,Rural,Morning,5
80,Bike,None,Rural,Morning,5
91,Bike,None,Rural,Morning,5
30,Car,Gasoline,Urban,Morning,180
76,Car,Gasoline,Urban,Evening,180
93,Car,Gasoline,Rural,Evening,180
49,Bike,None,Rural,Morning,5
85,Bike,None,Rural,Morning,5
3,Walking,None,Rural,Evening,0
80,Walking,None,Urban,Evening,0
51,Car,Gasoline,Urban,Morning,180
92,Bike,None,Urban,Afternoon,5
52,Bike,None,Urban,Afternoon,5
92,Car,Gasoline,Urban,Morning,180
22,Car,Gasoline,Rural,Evening,180
28,Car,Gasoline,Urban,Morning,180
47,Car,Gasoline,Urban,Morning,180
82,Bike,None,Rural,Afternoon,5
57,Bus,None,Urban,Afternoon,80
71,Bike,None,Rural,Morning,5
7,Bicycle,None,Urban,Morning,0
19,Car,Gasoline,Urban,Morning,180
1,Walking,None,Rural,Morning,0
4,Bicycle,None,Rural,Afternoon,0
74,Bus,None,Rural,Afternoon,80
67,Bus,None,Urban,Evening,80
11,Bike,None,Rural,Morning,5
32,Bike,None,Urban,Evening,5
55,Bike,None,Rural,Morning,5
40,Bike,None,Rural,Evening,5
90,Bus,None,Urban,Afternoon,80
39,Bus,None,Rural,Afternoon,80
52,Bus,None,Rural,Evening,80
65,Bus,None,Urban,Afternoon,80
94,Bike,None,Urban,Afternoon,5
52,Bike,None,Urban,Evening,5
34,Bike,None,Urban,Afternoon,5
47,Bike,None,Urban,Afternoon,5
77,Bike,None,Urban,Evening,5
8,Bike,None,Urban,Afternoon,5
47,Bus,None,Rural,Afternoon,80
1,Walking,None,Rural,Morning,0
33,Car,Gasoline,Urban,Morning,180
14,Bike,None,Urban,Evening,5
47,Bike,None,Urban,Afternoon,5
97,Bus,None,Urban,Evening,80
98,Bus,None,Urban,Evening,80
11,Bike,None,Urban,Afternoon,5
18,Bike,None,Urban,Afternoon,5
45,Bike,None,Urban,Afternoon,5
41,Bike,None,Urban,Evening,5
3,Walking,None,Urban,Afternoon,0
74,Walking,None,Rural,Evening,0
98,Bus,None,Urban,Afternoon,80
78,Car,Gasoline,Urban,Morning,180
99,Bus,None,Urban,Afternoon,80
42,Bus,None,Urban,Evening,80
62,Bus,None,Rural,Afternoon,80
81,Bus,None,Rural,Evening,80
91,Bus,None,Rural,Evening,80
87,Bike,None,Rural,Afternoon,5
77,Bike,None,Urban,Afternoon,5
80,Bike,None,Urban,Evening,5
57,Car,Gasoline,Urban,Morning,180
38,Bus,None,Urban,Afternoon,80
41,Bike,None,Rural,Afternoon,5
81,Bus,None,Rural,Afternoon,80
47,Bike,None,Rural,Afternoon,5
14,Bike,None,Urban,Afternoon,5
77,Bike,None,Rural,Afternoon,5
99,Bus,None,Rural,Evening,80
7,Bicycle,None,Rural,Morning,0
45,Bicycle,None,Urban,Evening,0
10,Bike,None,Urban,Afternoon,5
84,Bike,None,Rural,Morning,5
33,Bike,None,Rural,Evening,5
7,Bicycle,None,Rural,Evening,0
82,Bicycle,None,Urban,Evening,0
43,Bicycle,None,Rural,Evening,0
92,Bike,None,Urban,Afternoon,5
45,Bike,None,Urban,Afternoon,5
90,Bus,None,Urban,Afternoon,80
98,Bus,None,Rural,Afternoon,80
45,Bus,None,Urban,Evening,80
49,Bus,None,Rural,Afternoon,80
35,Car,Gasoline,Urban,Morning,180
59,Bike,None,Rural,Afternoon,5
75,Bike,None,Urban,Evening,5
58,Bus,None,Rural,Afternoon,80
66,Bus,None,Rural,Evening,80
3,Walking,None,Urban,Evening,0
57,Bus,None,Rural,Afternoon,80
54,Bus,None,Urban,Afternoon,80
63,Bike,None,Urban,Afternoon,5
8,Bicycle,None,Rural,Evening,0
87,Bicycle,None,Rural,Evening,0
6,Bicycle,None,Urban,Evening,0
35,Car,Gasoline,Urban,Morning,180
65,Bus,None,Urban,Afternoon,80
55,Car,Gasoline,Urban,Morning,180
15,Bicycle,None,Rural,Morning,0
1,Walking,None,Urban,Evening,0
84,Walking,None,Urban,Evening,0
47,Car,Gasoline,Urban,Morning,180
91,Car,Gasoline,Urban,Evening,180
54,Car,Gasoline,Rural,Evening,180
82,Bike,None,Urban,Afternoon,5
51,Bus,None,Urban,Afternoon,80
23,Bus,None,Urban,Evening,80
44,Bus,None,Urban,Evening,80
65,Bus,None,Urban,Evening,80
42,Bus,None,Urban,Afternoon,80
95,Bus,None,Urban,Afternoon,80
4,Bicycle,None,Rural,Evening,0
69,Bus,None,Urban,Afternoon,80
41,Bus,None,Rural,Evening,80
87,Bus,None,Rural,Evening,80
23,Bus,None,Rural,Afternoon,80
3,Walking,None,Urban,Morning,0
44,Car,Gasoline,Urban,Morning,180
48,Car,Gasoline,Urban,Evening,180
65,Bike,None,Rural,Morning,5
50,Bike,None,Urban,Evening,5
27,Bike,None,Rural,Evening,5
6,Bicycle,None,Urban,Evening,0
15,Bicycle,None,Rural,Afternoon,0
79,Bicycle,None,Rural,Evening,0
1,Walking,None,Rural,Afternoon,0
74,Walking,None,Rural,Evening,0
40,Walking,None,Urban,Evening,0
51,Bike,None,Rural,Morning,5
53,Bike,None,Rural,Morning,5
3,Walking,None,Urban,Afternoon,0
2,Walking,None,Rural,Evening,0
71,Bike,None,Rural,Morning,5
83,Bike,None,Rural,Evening,5
23,Bike,None,Urban,Evening,5
80,Bike,None,Urban,Afternoon,5
78,Bike,None,Urban,Evening,5
21,Bike,None,Rural,Morning,5
47,Bike,None,Rural,Afternoon,5
15,Bike,None,Urban,Morning,5
55,Car,Gasoline,Urban,Morning,180
30,Bike,None,Rural,Morning,5
99,Bus,None,Urban,Evening,80
38,Bike,None,Urban,Afternoon,5
61,Bike,None,Urban,Evening,5
76,Bike,None,Rural,Evening,5
54,Bus,None,Rural,Afternoon,80
11,Bike,None,Urban,Evening,5
52,Car,Gasoline,Urban,Morning,180
70,Car,Gasoline,Urban,Morning,180
28,Car,Gasoline,Rural,Evening,180
84,Bus,None,Rural,Afternoon,80
73,Car,Gasoline,Urban,Morning,180
67,Bus,None,Rural,Afternoon,80
49,Bus,None,Rural,Evening,80
78,Bike,None,Rural,Morning,5
65,Car,Gasoline,Urban,Morning,180
11,Bicycle,None,Rural,Afternoon,0
95,Bicycle,None,Rural,Evening,0
44,Bicycle,None,Urban,Evening,0
99,Bus,None,Urban,Morning,80
26,Bus,None,Urban,Evening,80
43,Bike,None,Rural,Afternoon,5
15,Bike,None,Rural,Afternoon,5
49,Bike,None,Urban,Evening,5
86,Bus,None,Rural,Afternoon,80
49,Bike,None,Rural,Afternoon,5
13,Bicycle,None,Rural,Evening,0
44,Bicycle,None,Urban,Evening,0
8,Bicycle,None,Rural,Evening,0
70,Bike,None,Rural,Afternoon,5
63,Car,Gasoline,Urban,Morning,180
6,Bicycle,None,Rural,Afternoon,0
50,Bicycle,None,Rural,Evening,0
54,Bike,None,Rural,Morning,5
27,Car,Gasoline,Urban,Morning,180
72,Bike,None,Rural,Morning,5
68,Bike,None,Rural,Afternoon,5
98,Bus,None,Urban,Afternoon,80
27,Bike,None,Urban,Afternoon,5
31,Bike,None,Urban,Evening,5
72,Bus,None,Urban,Afternoon,80
70,Bus,None,Urban,Afternoon,80
64,Car,Gasoline,Urban,Morning,180
36,Car,Gasoline,Urban,Morning,180
1,Walking,None,Urban,Morning,0
32,Walking,None,Rural,Evening,0
63,Car,Gasoline,Urban,Morning,180
89,Bike,None,Rural,Afternoon,5
44,Car,Gasoline,Urban,Morning,180
98,Bus,None,Rural,Evening,80
53,Car,Gasoline,Urban,Morning,180
71,Bike,None,Rural,Morning,5
91,Bike,None,Rural,Evening,5
56,Bike,None,Rural,Evening,5
51,Bus,None,Rural,Afternoon,80
82,Bus,None,Urban,Evening,80
40,Bus,None,Urban,Evening,80
89,Bike,None,Rural,Morning,5
8,Bike,None,Urban,Afternoon,5
2,Walking,None,Rural,Morning,0
83,Walking,None,Urban,Evening,0
70,Walking,None,Urban,Evening,0
56,Bike,None,Rural,Morning,5
49,Bike,None,Rural,Morning,5
84,Bike,None,Rural,Morning,5
74,Bike,None,Urban,Afternoon,5
42,Bus,None,Urban,Afternoon,80
26,Bike,None,Rural,Afternoon,5
93,Bike,None,Rural,Afternoon,5
62,Bike,None,Rural,Afternoon,5
1,Walking,None,Rural,Morning,0
38,Bus,None,Rural,Afternoon,80
33,Bike,None,Rural,Afternoon,5
2,Walking,None,Urban,Morning,0
14,Bike,None,Urban,Evening,5
1,Walking,None,Urban,Morning,0
28,Walking,None,Rural,Evening,0
31,Walking,None,Urban,Evening,0
80,Walking,None,Urban,Evening,0
93,Bus,None,Rural,Afternoon,80
60,Bike,None,Urban,Afternoon,5
61,Car,Gasoline,Urban,Morning,180
60,Car,Gasoline,Urban,Evening,180
33,Bus,None,Urban,Afternoon,80
55,Bike,None,Urban,Afternoon,5
52,Bike,None,Rural,Morning,5
10,Bike,None,Urban,Morning,5
67,Car,Gasoline,Urban,Morning,180
98,Bus,None,Urban,Morning,80
98,Bus,None,Rural,Morning,80
96,Bus,None,Rural,Evening,80
53,Bus,None,Rural,Evening,80
40,Bike,None,Rural,Morning,5
96,Bus,None,Urban,Afternoon,80
99,Bus,None,Urban,Evening,80
25,Bus,None,Urban,Evening,80
22,Bus,None,Urban,Evening,80
47,Bike,None,Urban,Afternoon,5
75,Car,Gasoline,Urban,Morning,180
28,Car,Gasoline,Rural,Evening,180
87,Car,Gasoline,Urban,Morning,180
68,Car,Gasoline,Urban,Evening,180
17,Bike,None,Rural,Afternoon,5
52,Bus,None,Urban,Afternoon,80
14,Bike,None,Urban,Morning,5
5,Bicycle,None,Rural,Afternoon,0
62,Bicycle,None,Rural,Evening,0
20,Bicycle,None,Rural,Evening,0
93,Bike,None,Urban,Afternoon,5
7,Bicycle,None,Urban,Afternoon,0
74,Bicycle,None,Urban,Evening,0
79,Bus,None,Urban,Afternoon,80
43,Bus,None,Rural,Evening,80
59,Car,Gasoline,Urban,Morning,180
87,Car,Gasoline,Urban,Morning,180
43,Car,Gasoline,Urban,Morning,180
62,Bus,None,Urban,Afternoon,80
93,Bike,None,Rural,Morning,5
87,Car,Gasoline,Urban,Morning,180
89,Car,Gasoline,Urban,Evening,180
38,Bike,None,Rural,Afternoon,5
7,Bicycle,None,Urban,Afternoon,0
35,Bike,None,Urban,Afternoon,5
22,Bike,None,Rural,Evening,5
90,Bike,None,Urban,Afternoon,5
95,Bike,None,Rural,Afternoon,5
35,Bike,None,Rural,Morning,5
75,Bike,None,Rural,Morning,5
15,Bicycle,None,Rural,Evening,0
52,Bus,None,Urban,Afternoon,80
85,Bus,None,Urban,Afternoon,80
9,Bicycle,None,Rural,Morning,0
86,Bike,None,Rural,Afternoon,5
64,Bike,None,Rural,Evening,5
16,Bike,None,Urban,Afternoon,5
61,Bike,None,Rural,Morning,5
87,Bike,None,Rural,Afternoon,5
60,Car,Gasoline,Urban,Morning,180
92,Bike,None,Rural,Morning,5
58,Bike,None,Rural,Afternoon,5
31,Bike,None,Urban,Evening,5
3,Walking,None,Rural,Afternoon,0
98,Bus,None,Rural,Morning,80
26,Bike,None,Rural,Morning,5
76,Bike,None,Urban,Evening,5
89,Car,Gasoline,Urban,Morning,180
100,Bus,None,Rural,Afternoon,80
80,Bike,None,Rural,Morning,5
61,Bike,None,Rural,Evening,5
12,Bicycle,None,Rural,Afternoon,0
54,Car,Gasoline,Urban,Morning,180
48,Bus,None,Rural,Afternoon,80
42,Bus,None,Rural,Evening,80
78,Bike,None,Rural,Afternoon,5
90,Car,Gasoline,Urban,Morning,180
45,Bus,None,Urban,Afternoon,80
71,Bus,None,Urban,Evening,80
75,Car,Gasoline,Urban,Morning,180
21,Car,Gasoline,Urban,Evening,180
96,Bus,None,Rural,Evening,80
99,Bus,None,Urban,Evening,80
51,Car,Gasoline,Urban,Morning,180
30,Car,Gasoline,Urban,Morning,180
97,Bus,None,Rural,Morning,80
25,Bus,None,Urban,Afternoon,80
55,Bike,None,Rural,Afternoon,5
48,Bike,None,Urban,Afternoon,5
54,Bus,None,Rural,Afternoon,80
8,Bicycle,None,Rural,Evening,0
66,Bicycle,None,Rural,Evening,0
84,Car,Gasoline,Urban,Morning,180
65,Car,Gasoline,Urban,Morning,180
20,Car,Gasoline,Rural,Evening,180
49,Car,Gasoline,Rural,Evening,180
8,Bicycle,None,Rural,Morning,0
29,Bike,None,Rural,Morning,5
25,Bus,None,Rural,Afternoon,80
6,Bicycle,None,Rural,Evening,0
74,Bike,None,Rural,Afternoon,5
22,Bike,None,Rural,Evening,5
75,Bus,None,Rural,Afternoon,80
3,Walking,None,Urban,Evening,0
23,Walking,None,Urban,Evening,0
81,Walking,None,Rural,Evening,0
61,Bus,None,Rural,Afternoon,80
97,Bus,None,Urban,Afternoon,80
15,Bike,None,Rural,Afternoon,5
14,Bike,None,Urban,Evening,5
50,Bike,None,Rural,Morning,5
26,Bike,None,Rural,Morning,5
77,Bus,None,Urban,Afternoon,80
24,Bus,None,Rural,Afternoon,80
74,Bus,None,Urban,Afternoon,80
37,Bike,None,Rural,Morning,5
85,Bus,None,Rural,Afternoon,80
5,Bicycle,None,Rural,Evening,0
76,Bike,None,Urban,Afternoon,5
47,Bike,None,Urban,Afternoon,5
75,Bike,None,Rural,Evening,5
49,Bike,None,Rural,Morning,5
59,Bike,None,Rural,Afternoon,5
70,Car,Gasoline,Urban,Morning,180
67,Bus,None,Rural,Afternoon,80
60,Bus,None,Urban,Evening,80
59,Bus,None,Urban,Afternoon,80
13,Bike,None,Urban,Evening,5
51,Car,Gasoline,Urban,Morning,180
69,Car,Gasoline,Urban,Morning,180
62,Car,Gasoline,Urban,Morning,180
44,Bike,None,Rural,Morning,5
1,Walking,None,Urban,Evening,0
3,Walking,None,Rural,Afternoon,0
50,Car,Gasoline,Urban,Morning,180
67,Car,Gasoline,Rural,Evening,180
11,Bicycle,None,Rural,Afternoon,0
48,Bicycle,None,Urban,Evening,0
26,Bus,None,Rural,Afternoon,80
49,Bike,None,Rural,Afternoon,5
92,Bike,None,Rural,Morning,5
85,Bike,None,Rural,Afternoon,5
21,Car,Gasoline,Urban,Morning,180
74,Car,Gasoline,Urban,Evening,180
41,Car,Gasoline,Rural,Evening,180
6,Bicycle,None,Rural,Evening,0
42,Bicycle,None,Urban,Evening,0
2,Walking,None,Urban,Afternoon,0
38,Bike,None,Rural,Morning,5
15,Bicycle,None,Rural,Morning,0
37,Bike,None,Rural,Morning,5
61,Bike,None,Urban,Afternoon,5
21,Bike,None,Urban,Evening,5
13,Bicycle,None,Rural,Afternoon,0
57,Bicycle,None,Rural,Evening,0
34,Car,Gasoline,Urban,Morning,180
61,Car,Gasoline,Urban,Evening,180
94,Bike,None,Rural,Afternoon,5
22,Bike,None,Rural,Morning,5
99,Bus,None,Urban,Afternoon,80
8,Bike,None,Urban,Afternoon,5
92,Car,Gasoline,Urban,Morning,180
9,Bicycle,None,Rural,Afternoon,0
75,Car,Gasoline,Urban,Morning,180
82,Car,Gasoline,Rural,Evening,180
93,Bus,None,Urban,Afternoon,80
83,Bus,None,Urban,Evening,80
15,Bicycle,None,Rural,Evening,0
75,Bike,None,Rural,Morning,5
27,Car,Gasoline,Urban,Morning,180
92,Car,Gasoline,Rural,Evening,180
84,Bike,None,Urban,Afternoon,5
62,Bike,None,Rural,Morning,5
88,Bike,None,Urban,Afternoon,5
7,Bicycle,None,Urban,Morning,0
6,Bicycle,None,Rural,Afternoon,0
40,Bicycle,None,Rural,Evening,0
33,Bus,None,Urban,Afternoon,80
46,Bus,None,Rural,Evening,80
83,Bus,None,Urban,Afternoon,80
36,Bus,None,Urban,Afternoon,80
6,Bicycle,None,Rural,Evening,0
65,Bike,None,Urban,Afternoon,5
50,Bike,None,Urban,Afternoon,5
82,Bike,None,Rural,Morning,5
47,Bus,None,Rural,Afternoon,80
30,Bus,None,Urban,Evening,80
41,Bus,None,Rural,Evening,80
69,Bus,None,Rural,Evening,80
12,Bike,None,Rural,Afternoon,5
44,Bike,None,Rural,Evening,5
99,Bus,None,Urban,Afternoon,80
67,Bus,None,Urban,Afternoon,80
92,Car,Gasoline,Urban,Morning,180
74,Bus,None,Urban,Afternoon,80
41,Bike,None,Urban,Afternoon,5
16,Bike,None,Rural,Afternoon,5
62,Bike,None,Rural,Evening,5
57,Bike,None,Rural,Afternoon,5
74,Car,Gasoline,Urban,Morning,180
51,Car,Gasoline,Urban,Morning,180
94,Bus,None,Urban,Afternoon,80
91,Car,Gasoline,Urban,Morning,180
31,Car,Gasoline,Rural,Evening,180
7,Bicycle,None,Urban,Morning,0
71,Bicycle,None,Urban,Evening,0
22,Car,Gasoline,Urban,Morning,180
11,Bike,None,Urban,Evening,5
58,Bike,None,Rural,Evening,5
64,Bus,None,Urban,Afternoon,80
61,Bus,None,Rural,Afternoon,80
69,Bus,None,Urban,Afternoon,80
49,Bike,None,Rural,Morning,5
93,Bike,None,Rural,Afternoon,5
74,Bus,None,Urban,Afternoon,80
42,Car,Gasoline,Urban,Morning,180
93,Car,Gasoline,Urban,Evening,180
15,Bike,None,Urban,Afternoon,5
22,Car,Gasoline,Urban,Morning,180
34,Car,Gasoline,Urban,Morning,180
7,Bicycle,None,Rural,Morning,0
7,Bicycle,None,Rural,Afternoon,0
7,Bicycle,None,Urban,Afternoon,0
69,Bus,None,Rural,Afternoon,80
65,Bus,None,Urban,Evening,80
27,Car,Gasoline,Urban,Morning,180
54,Car,Gasoline,Urban,Morning,180
11,Bike,None,Rural,Afternoon,5
42,Bus,None,Rural,Afternoon,80
75,Bike,None,Rural,Afternoon,5
93,Bike,None,Rural,Morning,5
16,Bus,None,Rural,Afternoon,80
44,Bus,None,Rural,Afternoon,80
93,Car,Gasoline,Urban,Morning,180
52,Car,Gasoline,Urban,Morning,180
80,Car,Gasoline,Urban,Evening,180
64,Car,Gasoline,Rural,Evening,180
29,Bike,None,Rural,Morning,5
58,Bike,None,Urban,Evening,5
59,Bus,None,Rural,Afternoon,80
21,Bike,None,Rural,Morning,5
87,Bike,None,Rural,Morning,5
58,Bike,None,Rural,Morning,5
17,Bus,None,Urban,Afternoon,80
100,Bus,None,Rural,Evening,80
5,Bicycle,None,Rural,Evening,0
64,Car,Gasoline,Urban,Morning,180
51,Car,Gasoline,Rural,Evening,180
3,Walking,None,Rural,Afternoon,0
44,Bike,None,Rural,Morning,5
76,Bus,None,Rural,Afternoon,80
87,Bike,None,Rural,Morning,5
56,Bus,None,Urban,Afternoon,80
54,Bike,None,Rural,Morning,5
81,Bike,None,Rural,Morning,5
86,Car,Gasoline,Urban,Morning,180
15,Bike,None,Urban,Morning,5
52,Bike,None,Rural,Evening,5
70,Bike,None,Urban,Evening,5
64,Bike,None,Urban,Evening,5
64,Bike,None,Urban,Evening,5
54,Bike,None,Urban,Evening,5
43,Bike,None,Rural,Morning,5
73,Bike,None,Rural,Evening,5
67,Bus,None,Urban,Afternoon,80
20,Bus,None,Rural,Evening,80
50,Bus,None,Rural,Evening,80
84,Bus,None,Rural,Evening,80
39,Bus,None,Urban,Afternoon,80
20,Bike,None,Rural,Morning,5
67,Bike,None,Rural,Evening,5
23,Bike,None,Rural,Evening,5
9,Bicycle,None,Rural,Evening,0
2,Walking,None,Urban,Morning,0
57,Walking,None,Rural,Evening,0
23,Walking,None,Urban,Evening,0
3,Walking,None,Rural,Afternoon,0
72,Walking,None,Rural,Evening,0
88,Walking,None,Rural,Evening,0
40,Walking,None,Urban,Evening,0
80,Bus,None,Urban,Afternoon,80
19,Car,Gasoline,Urban,Morning,180
32,Bus,None,Rural,Afternoon,80
12,Bicycle,None,Rural,Afternoon,0
98,Bus,None,Rural,Morning,80
76,Bus,None,Urban,Evening,80
40,Bus,None,Rural,Evening,80
88,Bus,None,Urban,Evening,80
16,Bike,None,Rural,Morning,5
62,Bike,None,Rural,Evening,5
94,Car,Gasoline,Urban,Morning,180
57,Bike,None,Rural,Morning,5
87,Car,Gasoline,Urban,Morning,180
70,Car,Gasoline,Urban,Morning,180
27,Bike,None,Rural,Morning,5
85,Bike,None,Rural,Morning,5
84,Bike,None,Rural,Morning,5
87,Bus,None,Rural,Afternoon,80
90,Bus,None,Rural,Afternoon,80
31,Car,Gasoline,Urban,Morning,180
67,Bike,None,Rural,Morning,5
43,Bike,None,Rural,Morning,5
15,Bike,None,Urban,Afternoon,5
26,Bike,None,Rural,Evening,5
11,Bike,None,Urban,Afternoon,5
81,Bike,None,Urban,Evening,5
33,Bike,None,Rural,Afternoon,5
7,Bicycle,None,Rural,Afternoon,0
31,Bus,None,Urban,Afternoon,80
15,Bike,None,Urban,Afternoon,5
58,Bike,None,Rural,Morning,5
33,Bus,None,Urban,Afternoon,80
99,Bus,None,Rural,Evening,80
8,Bike,None,Urban,Evening,5
87,Bike,None,Urban,Evening,5
76,Bike,None,Urban,Evening,5
67,Bike,None,Rural,Morning,5
81,Car,Gasoline,Urban,Morning,180
90,Car,Gasoline,Urban,Morning,180
46,Car,Gasoline,Rural,Evening,180
17,Bike,None,Urban,Afternoon,5
31,Bike,None,Rural,Afternoon,5
44,Bike,None,Rural,Morning,5
97,Bus,None,Rural,Evening,80
54,Bike,None,Rural,Morning,5
19,Bike,None,Rural,Afternoon,5
21,Bike,None,Urban,Evening,5
75,Bus,None,Urban,Afternoon,80
61,Bus,None,Rural,Evening,80
91,Bike,None,Rural,Morning,5
89,Bike,None,Rural,Morning,5
44,Bus,None,Urban,Afternoon,80
89,Bus,None,Urban,Evening,80
4,Bicycle,None,Urban,Afternoon,0
12,Bike,None,Rural,Afternoon,5
56,Bike,None,Rural,Evening,5
32,Car,Gasoline,Urban,Morning,180
45,Bus,None,Urban,Afternoon,80
38,Bike,None,Rural,Morning,5
96,Bus,None,Rural,Afternoon,80
5,Bicycle,None,Urban,Afternoon,0
25,Bicycle,None,Urban,Evening,0
16,Bicycle,None,Urban,Evening,0
77,Bike,None,Rural,Morning,5
94,Bus,None,Urban,Afternoon,80
100,Bus,None,Urban,Afternoon,80
7,Bicycle,None,Rural,Evening,0
77,Bike,None,Rural,Morning,5
27,Bike,None,Urban,Evening,5
29,Bike,None,Urban,Afternoon,5
50,Bike,None,Rural,Morning,5
51,Bike,None,Urban,Afternoon,5
41,Car,Gasoline,Urban,Morning,180
8,Bicycle,None,Rural,Afternoon,0
17,Bus,None,Urban,Afternoon,80
50,Bike,None,Rural,Afternoon,5
38,Car,Gasoline,Urban,Morning,180
26,Bike,None,Rural,Morning,5
62,Bike,None,Urban,Evening,5
67,Bike,None,Rural,Afternoon,5
50,Car,Gasoline,Urban,Morning,180
67,Bike,None,Rural,Morning,5
76,Bike,None,Rural,Morning,5
88,Bike,None,Rural,Evening,5
64,Bike,None,Rural,Morning,5
96,Bus,None,Urban,Morning,80
83,Bus,None,Rural,Afternoon,80
16,Bus,None,Rural,Evening,80
93,Bus,None,Urban,Afternoon,80
88,Bike,None,Rural,Morning,5
13,Bicycle,None,Rural,Evening,0
40,Bike,None,Rural,Morning,5
50,Car,Gasoline,Urban,Morning,180
24,Bike,None,Rural,Morning,5
10,Bike,None,Urban,Afternoon,5
55,Bike,None,Rural,Afternoon,5
36,Bus,None,Rural,Afternoon,80
3,Walking,None,Urban,Morning,0
34,Walking,None,Urban,Evening,0
36,Car,Gasoline,Urban,Morning,180
86,Car,Gasoline,Urban,Morning,180
31,Bike,None,Rural,Afternoon,5
10,Bicycle,None,Rural,Morning,0
69,Bike,None,Rural,Morning,5
51,Bus,None,Urban,Afternoon,80
58,Bike,None,Rural,Morning,5
32,Car,Gasoline,Urban,Morning,180
19,Car,Gasoline,Urban,Morning,180
7,Bicycle,None,Urban,Evening,0
22,Car,Gasoline,Urban,Morning,180
88,Bike,None,Rural,Afternoon,5
76,Bike,None,Rural,Morning,5
31,Bike,None,Urban,Evening,5
40,Bike,None,Rural,Morning,5
94,Bike,None,Urban,Evening,5
74,Bike,None,Rural,Evening,5
52,Bike,None,Urban,Evening,5
72,Bike,None,Rural,Evening,5
66,Bus,None,Urban,Afternoon,80
80,Bus,None,Rural,Evening,80
25,Bike,None,Rural,Morning,5
96,Bus,None,Urban,Morning,80
62,Bus,None,Urban,Afternoon,80
5,Bicycle,None,Rural,Afternoon,0
39,Bike,None,Rural,Afternoon,5
64,Bike,None,Rural,Evening,5
75,Bike,None,Rural,Morning,5
61,Bike,None,Urban,Evening,5
48,Bike,None,Urban,Evening,5
48,Bike,None,Rural,Morning,5
64,Bike,None,Rural,Morning,5
83,Bike,None,Urban,Afternoon,5
82,Bike,None,Rural,Evening,5
97,Bus,None,Urban,Evening,80
5,Bicycle,None,Urban,Evening,0
79,Bicycle,None,Rural,Evening,0
52,Bike,None,Rural,Afternoon,5
3,Walking,None,Urban,Afternoon,0
91,Bus,None,Rural,Afternoon,80
20,Car,Gasoline,Urban,Morning,180
69,Car,Gasoline,Urban,Morning,180
29,Car,Gasoline,Rural,Evening,180
92,Bike,None,Rural,Morning,5
44,Bike,None,Rural,Afternoon,5
90,Bike,None,Rural,Afternoon,5
46,Bike,None,Rural,Evening,5
22,Bike,None,Rural,Morning,5
47,Bike,None,Rural,Evening,5
29,Bike,None,Urban,Evening,5
54,Bus,None,Urban,Afternoon,80
97,Bus,None,Rural,Morning,80
60,Bus,None,Urban,Afternoon,80
65,Bike,None,Rural,Morning,5
86,Bike,None,Rural,Morning,5
70,Bike,None,Rural,Afternoon,5
74,Car,Gasoline,Urban,Morning,180
79,Car,Gasoline,Urban,Morning,180
88,Car,Gasoline,Urban,Morning,180
3,Walking,None,Rural,Evening,0
32,Walking,None,Urban,Evening,0
22,Bus,None,Urban,Afternoon,80
25,Bike,None,Urban,Afternoon,5
82,Bike,None,Urban,Evening,5
88,Bike,None,Rural,Morning,5
1,Walking,None,Rural,Afternoon,0
65,Bike,None,Rural,Afternoon,5
77,Bike,None,Rural,Morning,5
70,Bike,None,Rural,Afternoon,5
86,Bus,None,Rural,Afternoon,80
72,Car,Gasoline,Urban,Morning,180
27,Car,Gasoline,Urban,Evening,180
64,Car,Gasoline,Urban,Evening,180
42,Car,Gasoline,Urban,Evening,180
